Hate words,Why Hate?,Offensive words,Why offensive?
mèsú-jànbá,discrimination based on tribe ,alátẹnujẹ,insulting 
súlè-ìgbìrà,discrimination based on tribe ,oníjẹkújẹ,insulting 
àbókí,discrimination based on tribe ,ọ̀fọ́ọ̀n,comparison to animal 
ajòkúta-má-momi,discrimination based on tribe ,òsiwín,insulting 
nyámírí,discrimination based on tribe ,asíwín,insulting 
òkòròmàdò,discrimination based on tribe ,alájẹbẹ́,insulting 
gàmbàrí,discrimination based on tribe ,amukunmẹ́kọ ,insulting 
ọmọ-èṣù,discrimination based on religion ,akíndànìdani,insulting 
kùkùté,discrimination against short people ,òkúọ̀lẹ,insulting 
ará galátíà,discrimination based on tribe ,dìdìnrìn,insulting 
akálòló,discrimination against stutterer ,ọmọ-àlè,insulting 
ègbìrà,discrimination based on tribe ,olófo,insulting 
ìjẹ̀bú,discrimination based on tribe ,olódo,insulting 
òkú-òbò,discrimination against men,agbàyà,insulting 
alágbe,discrimination against music profession ,aṣunú,insulting 
ààrè,discrimination based on tribe ,ayírí,insulting 
ará-ìta,discrimination based on tribe ,dánkú,insulting 
,,ọ̀parun,insulting 
,,ẹlẹ́sìn,insulting 
,,ọ̀dàlẹ̀,insulting 
,,aṣiwèrè,insulting 
,,aṣièrè,insulting 
,,gọ̀lúgọ̀,insulting 
,,bọ̀lọ̀,insulting 
,,gbọ̀rànmí-dẹlẹ́rù,insulting 
,,ọlọ́bẹ̀,insulting 
,,àkọ́ọ́gbà,insulting 
,,gbẹ̀wùdání,insulting 
,,sùẹ̀gbẹ̀,insulting 
,,oníranù,insulting 
,,súlè,insulting 
,,alájẹyírà,insulting 
,,alájẹṣu,insulting 
,,alájẹbàjẹ́,insulting 
,,alálòpa,insulting 
,,alájẹpa,insulting 
,,aròbó,insulting 
,,ẹran-ìyà,insulting 
,,olóunjẹ-ìyà,insulting 
,,alápá-ike,insulting 
,,alápá-má-ṣiṣẹ́,insulting 
,,olóòórùn,insulting 
,,gbéwiri,insulting 
,,onídọ̀tí,insulting 
,,alábòsí,insulting 
,,múgùn,insulting 
,,alágànná,insulting 
,,tìfun-lọ̀ràn,insulting 
,,tojú-bọlé,insulting 
,,òkóbó,insulting 
,,ẹlẹ́sìn-ín,insulting 
,,àgàn,insulting 
,,òpùrọ́,insulting 
,,ẹhànnà,comparison to animal 
,,olóríkórí,insulting 
,,súpo,insulting 
,,ọwọ́-epo,insulting 
,,olófòfó,insulting 
,,ọ̀yà,comparison to animal 
,,àtẹ́nù,insulting 
,,aláìgbọ́ràn,insulting 
,,àpà,insulting 
,,arungún,insulting 
,,alétílápá,insulting 
,,abunú,insulting 
,,olójú-ràngàndàn,insulting 
,,abíìkọ́,insulting 
,,onígbésè,insulting 
,,ìjàpá ,insulting 
,,paramọ́lẹ̀,comparison to animal 
,,má-ṣànfàní,insulting 
,,adàgbàgbà-má-danú,insulting 
,,Agbéfungbọ́nmu,insulting 
,,Dàgìnìdọọrọ,insulting 
,,Èèyàn-kééyàn,insulting 
,,ẹni-ibi,insulting 
,,ẹni akìíjírì,insulting 
,,ẹni-àìjírí,insulting 
,,ẹni-àìjíkò,insulting 
,,eléṣù,insulting 
,,onírégbè,insulting 
,,aláìní làákàyè,insulting 
,,ọlọ́pọlọ kúkú,insulting 
,,déndè,insulting 
,,dìgbòlugi ,insulting 
,,ọ̀fọ́nú,insulting 
,,ashièrè,insulting 
,,ọmọdé-ìṣẹ́,insulting 
,,àkúdàáyà,insulting 
,,akúṣẹ̀ẹ́,insulting 
,,eku-ẹdá,insulting 
,,atọ̀ọ́lé,insulting
,,bàsèjẹ́,insulting 
,,gbájúẹ̀,insulting 
,,ọmọ-ìbànújẹ́,insulting 
,,ọmọ-ọ̀rọ̀,insulting 
,,ọmọ-òṣì,insulting 
,,àkúùsin,insulting 
,,alákìsáà,insulting 
,,alákọrí,insulting 
